compressor   level     user_time_sec        max_resid_kbyte           output_size_bytes
none         0         0                    0                         1101680640
xz-e         0         555.64               6120                      131139724
xz-e         1         600.71               14792                     120841012
xz-e         2         621.73               26728                     116287392
xz-e         3         572.41               50284                     111420016
xz-e         4         664.48               50120                     111340508
xz-e         5         579.48               97388                     106663080
xz-e         6         679.17               97412                     106516524
xz-e         7         724.48               191620                    102420412
xz-e         8         752.45               380032                    95950196
xz-e         9         797.90               691312                    93762748
xz           0         40.62                4496                      156853940
xz           1         53.58                10516                     141863992
xz           2         67.53                18196                     134441344
xz           3         96.31                33763                     128816204
xz           4         216.97               50160                     125562888
xz           5         309.87               97396                     113964300
xz           6         408.18               97388                     109263412
xz           7         434.62               191464                    105472448
xz           8         461.43               380012                    99221892
xz           9         466.11               691248                    97293196
bzip2        1         102.49               2288                      199353731
bzip2        2         102.32               2928                      187929201
bzip2        3         107.23               3720                      182573405
bzip2        4         107.21               4680                      179282630
bzip2        5         112.41               5480                      176992081
bzip2        6         112.56               6268                      175178377
bzip2        7         112.09               7032                      173788576
bzip2        8         117.43               7676                      172528164
bzip2        9         115.20               8376                      171399774
gzip         1         13.62                1544                      265827776
gzip         2         14.51                1688                      254841869
gzip         3         18.57                1608                      244472642
gzip         4         19.13                1712                      235231337
gzip         5         24.93                1600                      222118705
gzip         6         39.66                1548                      214568078
gzip         7         50.56                1564                      212830325
gzip         8         109.53               1544                      210255899
gzip         9         199.24               1680                      209271523
